2025-09-01T17:02:21.426Z - {"timestamp":"2025-09-01T17:02:21.426Z","method":"GET","url":"/api/seller/is-auth","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:21.443Z - {"timestamp":"2025-09-01T17:02:21.443Z","method":"GET","url":"/api/product/list","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:21.446Z - {"timestamp":"2025-09-01T17:02:21.446Z","method":"GET","url":"/api/seller/is-auth","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:21.449Z - {"timestamp":"2025-09-01T17:02:21.449Z","method":"POST","url":"/api/cart/update","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:21.458Z - {"timestamp":"2025-09-01T17:02:21.458Z","method":"GET","url":"/api/product/list","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:21.466Z - {"timestamp":"2025-09-01T17:02:21.466Z","method":"POST","url":"/api/cart/update","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:23.004Z - {"timestamp":"2025-09-01T17:02:23.004Z","method":"GET","url":"/api/user/is-auth","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:23.009Z - {"timestamp":"2025-09-01T17:02:23.009Z","method":"GET","url":"/api/user/is-auth","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:23.101Z - {"timestamp":"2025-09-01T17:02:23.101Z","method":"GET","url":"/api/seller/is-auth","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:23.106Z - {"timestamp":"2025-09-01T17:02:23.106Z","method":"GET","url":"/api/seller/is-auth","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:23.138Z - {"timestamp":"2025-09-01T17:02:23.138Z","method":"GET","url":"/api/product/list","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
2025-09-01T17:02:23.141Z - {"timestamp":"2025-09-01T17:02:23.141Z","method":"GET","url":"/api/product/list","ip":"::ffff:127.0.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0","userId":"anonymous"}
